〆切	(しめきり)
流動資産	(りゅうどうしさん)
流感	(りゅうかん)
流浪	(るろう)
流浪の民	(るろうのたみ)
流浪者	(るろうしゃ)
流離	(さすらい,りゅうり)
流離う	(さすらう)
流量	(りゅうりょう)
流派	(りゅうは)
流入	(りゅうにゅう)
流石	(さすが)
流水	(りゅうすい)
流弾	(りゅうだん)
流体	(りゅうたい)
流体力学	(りゅうたいりきがく)
流通	(りゅうつう)
流星	(りゅうせい)
流星雨	(りゅうせいう)
流刑	(りゅうけい,るけい)
流刑地	(りゅうけいち,るけいち)
流行	(りゅうこう)
流行る	(はやる)
流行歌	(りゅうこうか)
流行性感冒	(りゅうこうせいかんぼう)
流血	(りゅうけつ)
流言飛語	(りゅうげんひご)
流言蜚語	(りゅうげんひご)
流儀	(りゅうぎ)
流音	(りゅうおん)
流用	(りゅうよう)
流域	(りゅういき)
琉璃	(るり)
硫化処理ゴム	(りゅうかしょりゴム)
硫化水素	(りゅうかすいそ)
硫黄	(いおう,ゆおう)
硫黄酸化物	(いおうさんかぶつ)
硫酸	(りゅうさん)
瑠璃	(るり)
榴弾砲	(りゅうだんほう,りゅうだんぽう)
瘤	(こぶ)
鰡	(ぼら,ボラ)
柳	(やなぎ,ようりゅう,ヤナギ)
柳川鍋	(やながわなべ)
柳眉	(りゅうび)
柳腰	(やなぎごし,りゅうよう)
六	(ろく,む,むう)
六かしい	(むずかしい,むつかしい,むづかしい)
六ヶ敷い	(むずかしい,むつかしい,むづかしい)
六つ	(むっつ,むつ)
六つ子	(むつご)
六百六号	(ろっぴゃくろくごう)
六本	(ろっぽん)
六部	(ろくぶ)
六大州	(ろくだいしゅう)
六大洲	(ろくだいしゅう)
六法	(ろっぽう)
六法全書	(ろっぽうぜんしょ)
六辺形	(ろくへんけい)
六方	(ろっぽう)
六分儀	(ろくぶんぎ)
六府	(ろっぷ)
六腑	(ろっぷ)
六感	(ろっかん)
六根清浄	(ろっこんしょうじょう)
六合	(りくごう)
六花	(りっか,ろっか)
六角	(ろっかく)
六角堂	(ろっかくどう)
六角形	(ろっかっけい,ろっかくけい)
六借しい	(むずかしい,むつかしい,むづかしい)
六連発	(ろくれんぱつ)
六情	(ろくじょう)
六親	(ろくしん)
六日	(むいか,むゆか,むよか)
六三制	(ろくさんせい)
六十路	(むそじ)
六十四分音符	(ろくじゅうしぶおんぷ)
六書	(りくしょ,ろくしょ)
六月	(ろくがつ)
六重唱	(ろくじゅうしょう)
六重奏	(ろくじゅうそう)
竜の口	(たつのくち)
竜の落し子	(タツノオトシゴ,たつのおとしご)
竜の落とし子	(タツノオトシゴ,たつのおとしご)
竜車	(りゅうしゃ)
竜胆	(りんどう,りゅうたん,リンドウ)
竜宮	(りゅうぐう)
竜骨	(りゅうこつ)
竜虎	(りゅうこ,りょうこ)
竜巻	(たつまき)
竜巻き	(たつまき)
竜攘虎搏	(りゅうじょうこはく)
竜舌蘭	(りゅうぜつらん,リュウゼツラン)
竜神	(りゅうじん)
竜田比女	(たつたひめ)
竜田姫	(たつたひめ)
竜頭	(りゅうず,リューズ,リュウズ)
竜頭蛇尾	(りゅうとうだび)
竜顔	(りゅうがん,りょうがん)
竜舟	(りゅうしゅう)
竜座	(りゅうざ)
隆々	(りゅうりゅう)
隆隆	(りゅうりゅう)
隆起	(りゅうき)
隆盛	(りゅうせい)
篭	(かご,カゴ)
篭める	(こめる)
篭もる	(こもる)
篭る	(こもる)
篭城	(ろうじょう)
龍の落し子	(タツノオトシゴ,たつのおとしご)
龍の落とし子	(タツノオトシゴ,たつのおとしご)
龍車	(りゅうしゃ)
龍胆	(りんどう,りゅうたん,リンドウ)
龍宮	(りゅうぐう)
龍骨	(りゅうこつ)
龍虎	(りゅうこ,りょうこ)
龍巻	(たつまき)
龍巻き	(たつまき)
龍舌蘭	(りゅうぜつらん,リュウゼツラン)
龍神	(りゅうじん)
龍頭蛇尾	(りゅうとうだび)
龍顔	(りゅうがん,りょうがん)
龍舟	(りゅうしゅう)
瀧	(たき)
朧げ	(おぼろげ)
朧ろ気	(おぼろげ)
朧気	(おぼろげ)
籠	(かご,カゴ)
籠める	(こめる)
籠もる	(こもる)
籠城	(ろうじょう)
聾	(つんぼ)
聾する	(ろうする)
聾学校	(ろうがっこう)
聾唖	(ろうあ)
聾唖学校	(ろうあがっこう)
聾唖者	(ろうあしゃ)
聾啞	(ろうあ)
聾啞学校	(ろうあがっこう)
聾啞者	(ろうあしゃ)
聾桟敷	(つんぼさじき)
聾者	(ろうしゃ)
壟	(おか)
壟断	(ろうだん)
楼閣	(ろうかく)
楼門	(ろうもん)
螻	(けら,おけら,ろうこ)
螻蛄	(けら,おけら,ろうこ)
漏えい	(ろうえい,ろうせつ)
漏らす	(もらす)
漏る	(もる)
漏れ	(もれ)
漏れる	(もれる)
漏れ聴く	(もれきく)
漏れ聞く	(もれきく)
漏出	(ろうしゅつ)
漏電	(ろうでん)
漏斗	(じょうご,ろうと,ロート)
漏話	(ろうわ)
漏水	(ろうすい)
漏泄	(ろうえい,ろうせつ)
漏洩	(ろうえい,ろうせつ)
芦	(あし,よし,アシ)
芦笛	(あしぶえ,よしぶえ,ろてき)
芦毛	(あしげ)
炉端	(ろばた)
炉端焼き	(ろばたやき)
盧溝橋	(ろこうきょう)
蘆	(あし,よし,アシ)
蘆笛	(あしぶえ,よしぶえ,ろてき)
蘆溝橋	(ろこうきょう)
蘆毛	(あしげ)
廬	(いおり,あん,いお)
瀘過器	(ろかき)
艫	(とも)
鱸	(すずき,スズキ)
虜	(とりこ)
滷汁	(にがり,にがしお)
魯	(ろ,ロ)
魯国	(ろこく)
櫓	(やぐら)
艪	(ろ)
陸	(ろく)
陸でなし	(ろくでなし,ロクデナシ)
陸で無し	(ろくでなし,ロクデナシ)
陸に	(ろくに)
陸曹	(りくそう)
陸曹等	(りくそうとう)
陸稲	(おかぼ,りくとう)
陸釣	(おかづり)
陸釣り	(おかづり)
陸風	(りくふう,りくかぜ)
陸符	(おか)
陸将	(りくしょう)
陸軍	(りくぐん)
陸路	(りくろ)
陸棚	(りくだな,りくほう)
陸上	(りくじょう)
陸上競技	(りくじょうきょうぎ)
陸上作戦本部	(りくじょうさくせんほんぶ)
陸湯	(おかゆ)
陸相	(りくしょう)
陸行	(りっこう)
陸運	(りくうん)
陸運局	(りくうんきょく)
陸戦	(りくせん)
鹿	(しか,かせぎ,か)
鹿児島県	(かごしまけん)
鹿兒島縣	(かごしまけん)
鹿驚	(かかし,かがし,あんざんし)
鹿追	(しかおい)
碌	(ろく)
碌でなし	(ろくでなし,ロクデナシ)
碌で無し	(ろくでなし,ロクデナシ)
碌に	(ろくに)
路	(みち)
路傍	(ろぼう)
路地	(ろじ)
路肩	(ろかた,ろけん)
路線	(ろせん)
漉す	(こす)
蕗	(ふき,ふふき,フキ)
録る	(とる)
録画	(ろくが)
録音	(ろくおん)
録音テープ	(ろくおんテープ)
錄音	(ろくおん)
轆轤	(ろくろ)
露	(あらわ)
露わ	(あらわ)
露呈	(ろてい)
露出	(ろしゅつ)
露出症	(ろしゅつしょう)
露店	(ろてん)
露骨	(ろこつ)
露光	(ろこう)
露国	(ろこく)
露見	(ろけん)
露路	(ろじ)
露天	(ろてん)
露天風呂	(ろてんぶろ)
露顕	(ろけん)
露営	(ろえい)
露語	(ろご)
攣る	(つる)
卵	(たまご)
卵の殻	(たまごのから)
卵白	(らんぱく)
卵胞	(らんぽう,らんほう)
卵巣	(らんそう)
卵巣炎	(らんそうえん)
卵割	(かいわり)
卵割り	(かいわり)
卵管	(らんかん)
卵黄	(らんおう)
卵黄嚢	(らんおうのう)
卵殻	(らんかく,たまごがら)
卵嚢	(らんのう)
卵泡立て器	(たまごあわだてき)
卵色	(たまごいろ)
卵焼	(たまごやき)
卵焼き	(たまごやき)
卵生	(らんせい)
卵塔	(らんとう)
卵塔場	(らんとうば)
卵細胞	(らんさいぼう)
卵形	(らんけい,たまごがた)
卵型	(らんけい,たまごがた)
卵円	(らんえん)
卵状	(らんじょう)
卵子	(らんし)
乱す	(みだす)
乱れる	(みだれる)
乱れ髪	(みだれがみ)
乱暴	(らんぼう)
乱筆	(らんぴつ)
乱吹	(ふぶき)
乱丁	(らんちょう)
乱闘	(らんとう)
乱発	(らんぱつ)
乱伐	(らんばつ)
乱費	(らんぴ)
乱高下	(らんこうげ)
乱獲	(らんかく)
乱交	(らんこう)
乱交パーティ	(らんこうパーティー)
乱交パーティー	(らんこうパーティー)
乱立	(らんりつ)
乱脈	(らんみゃく)
乱入	(らんにゅう)
乱射	(らんしゃ)
乱視	(らんし)
乱数	(らんすう)
乱塔場	(らんとうば)
乱舞	(らんぶ,らっぷ)
乱心	(らんしん)
乱用	(らんよう)
乱雑	(らんざつ)
乱作	(らんさく)
亂暴	(らんぼう)
擽ぐったい	(くすぐったい)
擽ぐる	(くすぐる)
擽ったい	(くすぐったい)
擽る	(くすぐる)
倫敦	(ロンドン)
倫理	(りんり)
倫理的	(りんりてき)
倫理学	(りんりがく)
輪	(りん)
輪かく	(りんかく)
輪ゴム	(わゴム)
輪番	(りんばん)
輪郭	(りんかく)
輪郭線	(りんかくせん)
輪回	(りんね)
輪廻	(りんね)
輪講	(りんこう)
輪廓	(りんかく)
輪留め	(わどめ)
輪奈	(わな)
輪切り	(わぎり)
輪投げ	(わなげ)
輪止め	(わどめ)
輪転	(りんてん)
輪転機	(りんてんき)
論う	(あげつらう)
論じつくす	(ろんじつくす)
論じる	(ろんじる)
論じ尽くす	(ろんじつくす)
論ずる	(ろんずる)
論点	(ろんてん)
論調	(ろんちょう)
論断	(ろんだん)
論究	(ろんきゅう)
論拠	(ろんきょ)
論考	(ろんこう)
論攷	(ろんこう)
論客	(ろんきゃく,ろんかく)
論理	(ろんり)
論理的	(ろんりてき)
論理回路	(ろんりかいろ)
論理素子	(ろんりそし)
論理演算	(ろんりえんざん)
論判	(ろんぱん)
論評	(ろんぴょう)
論破	(ろんぱ)
論説	(ろんせつ)
論外	(ろんがい)
論文	(ろんぶん)
論義	(ろんぎ)
論議	(ろんぎ)
論戦	(ろんせん)
論者	(ろんしゃ,ろんじゃ)
論争	(ろんそう)
論争者	(ろんそうしゃ)
論証	(ろんしょう)
論旨	(ろんし)
螺旋	(ネジ,ねじ)
螺子	(ネジ,ねじ)
螺子回し	(ねじまわし)
螺子山	(ねじやま)
羅典	(ラテン)
羅典語	(ラテンご)
羅甸	(ラテン)
羅甸語	(ラテンご)
羅漢	(らかん)
羅患	(りかん)
羅列	(られつ)
羅馬字	(ローマじ)
羅紗	(ラシャ)
羅宇	(ラオス)
羅針	(らしん)
羅針盤	(らしんばん)
騾馬	(ラバ,らば)
蘿	(こけ,コケ)
裸	(はだか)
裸になる	(はだかになる)
裸の質量	(はだかのしつりょう)
裸婦	(らふ)
裸馬	(はだかうま)
裸体	(らたい)
裸体画	(らたいが)
裸眼	(らがん)
裸一貫	(はだかいっかん)
裸足	(はだし,せんそく)
洛中	(らくちゅう)
落	(おち,オチ)
落しもの	(おとしもの)
落し入れる	(おとしいれる)
落し物	(おとしもの)
落し穴	(おとしあな)
落す	(おとす)
落ち	(おち,オチ)
落ちこぼれ	(おちこぼれ)
落ちこむ	(おちこむ)
落ちついた	(おちついた)
落ちつく	(おちつく)
落ちのびる	(おちのびる)
落ちぶれる	(おちぶれる)
落ちる	(おちる)
落ち度	(おちど)
落ち付き	(おちつき)
落ち付く	(おちつく)
落ち合う	(おちあう)
落ち零れ	(おちこぼれ)
落ち入る	(おちいる)
落ち穂拾い	(おちぼひろい)
落ち延びる	(おちのびる)
落ち葉	(おちば,らくよう)
落ち込む	(おちこむ)
落ち着いた	(おちついた)
落ち着き	(おちつき)
落ち着き払う	(おちつきはらう)
落ち着く	(おちつく)
落っこちる	(おっこちる)
落としもの	(おとしもの)
落とし入れる	(おとしいれる)
落とし物	(おとしもの)
落とし穴	(おとしあな)
落とす	(おとす)
落ばん	(らくばん)
落る	(おちる)
落差	(らくさ)
落成	(らくせい)
落成式	(らくせいしき)
落胆	(らくたん)
落地	(らくち)
落第	(らくだい)
落丁	(らくちょう)
落度	(おちど)
落付き	(おちつき)
落合う	(おちあう)
落後	(らくご)
落後者	(らくごしゃ)
落花狼藉	(らっかろうぜき)
落花枝に帰らず破鏡再び照らさず	(らっかえだにかえらずはきょうふたたびてらさず)
落款	(らっかん)
落雷	(らくらい)
落雷にあう	(らくらいにあう)
落磐	(らくばん)
落盤	(らくばん)
落魄れる	(おちぶれる)
落石	(らくせき)
落首	(らくしゅ)
落書	(らくがき)
落書き	(らくがき)
落穂拾い	(おちぼひろい)
落伍	(らくご)
落伍者	(らくごしゃ)
落下	(らっか)
落下傘	(らっかさん)
落延びる	(おちのびる)
落葉	(おちば,らくよう)
落込む	(おちこむ)
落語	(らくご)
落語家	(らくごか)
落札	(らくさつ)
落着き	(おちつき)
落着く	(おちつく)
絡まる	(からまる)
絡みあう	(からみあう)
絡みつく	(からみつく)
絡み付く	(からみつく)
絡み合う	(からみあう)
絡む	(からむ)
絡めとる	(からめとる)
絡め取る	(からめとる)
絡め手	(からめて,からめで)
絡繰	(からくり,カラクリ)
絡繰り	(からくり,カラクリ)
驢	(うさぎうま,ろ)
驢馬	(ろば,ロバ)
呂律が回らない	(ろれつがまわらない)
侶	(とも)
侶伴	(りょはん)
旅	(たび)
旅だつ	(たびだつ)
旅程	(りょてい)
旅愁	(りょしゅう)
旅費	(りょひ)
旅館	(りょかん)
旅客	(りょかく,りょきゃく)
旅客機	(りょかくき,りょかっき)
旅立ち	(たびだち)
旅立つ	(たびだつ)
旅路	(たびじ)
旅券	(りょけん)
旅人	(たびびと,りょじん,たびと)
旅団	(りょだん)
旅先	(たびさき)
旅行	(りょこう)
旅行代理店	(りょこうだいりてん)
旅行者	(りょこうしゃ)
屡	(しばしば)
屡々	(しばしば)
屡屡	(しばしば)
履	(くつ)
履きかえる	(はきかえる)
履きもの	(はきもの)
履き古し	(はきふるし)
履き替える	(はきかえる)
履き違える	(はきちがえる)
履き物	(はきもの)
履く	(はく)
履む	(ふむ)
履歴	(りれき)
履歴書	(りれきしょ)
履替える	(はきかえる)
履違える	(はきちがえる)
履物	(はきもの)
履習	(りしゅう)
履行	(りこう)
履修	(りしゅう)
律	(りつ)
律動	(りつどう)
律令	(りつりょう,りつれい)
律儀	(りちぎ,りつぎ)
律義	(りちぎ,りつぎ)
率	(りつ)
率いる	(ひきいる)
率爾	(そつじ)
率然	(そつぜん)
率塔婆	(そとば,そとうば)
率土	(そっと,そつど)
率先	(そっせん)
率先躬行	(そっせんきゅうこう)
率直	(そっちょく)
緑	(みどり)
緑の日	(みどりのひ)
緑地	(りょくち)
緑青	(ろくしょう,りょくしょう)
緑色	(みどりいろ,りょくしょく)
緑藻	(りょくそう)
緑啄木鳥	(あおげら,アオゲラ)
綠	(みどり)
綠色	(みどりいろ,りょくしょく)
慮る	(おもんばかる,おもんぱかる)
慮外	(りょがい)
濾す	(こす)
濾過	(ろか)
濾過器	(ろかき)
濾紙	(ろし)
鑢	(やすり,ヤスリ)
掠う	(さらう)
掠めとる	(かすめとる)
掠める	(かすめる)
掠め奪う	(かすめうばう)
掠め取る	(かすめとる)
掠り	(かすり)
掠れる	(かすれる)
掠奪	(りゃくだつ)
掠取	(りゃくしゅ)
略	(ほぼ)
略す	(りゃくす)
略称	(りゃくしょう)
略奪	(りゃくだつ)
略奪行為	(りゃくだつこうい)
略記	(りゃっき)
略歴	(りゃくれき)
略〻	(ほぼ)
略名	(りゃくめい)
略取	(りゃくしゅ)
略式	(りゃくしき)
略儀	(りゃくぎ)
略語	(りゃくご)
略装	(りゃくそう)
略字	(りゃくじ)
麻	(あさ,お)
麻しん	(はしか,ましん)
麻痺	(まひ,マヒ)
麻布	(あさぬの,まふ)
麻袋	(あさぶくろ)
麻幹	(おがら)
麻綱	(あさづな)
麻将	(マージャン,まーじゃん,まあじゃん)
麻裏	(あさうら)
麻裏草履	(あさうらぞうり)
麻呂	(まろ)
麻糸	(あさいと,まし)
麻婆豆腐	(マーボーどうふ,マーボどうふ,マーボードーフ)
麻雀	(マージャン,まーじゃん,まあじゃん)
麻雀屋	(マージャンや)
麻縄	(あさなわ)
麻睡	(ますい)
麻絲	(あさいと,まし)
麻屑	(あさくず)
麻行	(まぎょう)
麻薬	(まやく)
麻薬常習	(まやくじょうしゅう)
麻薬常用	(まやくじょうよう)
麻衣	(あさごろも,まい)
麻疹	(はしか,ましん)
麻織	(あさおり)
麻織り	(あさおり)
麻酔	(ますい)
麻酔をかける	(ますいをかける)
麻酔剤	(ますいざい)
麻酔薬	(ますいやく)
痲痺	(まひ,マヒ)
痲薬	(まやく)
痲酔	(ますい)
痳病	(りんびょう)
蟇	(ひきがえる,ひき,がまがえる)
蟇蛙	(ひきがえる,ひき,がまがえる)
蟆	(ぶゆ,ぶよ,ぶと)
蟆子	(ぶゆ,ぶよ,ぶと)
馬	(うま,ウマ)
馬とび	(うまとび)
馬の耳に念仏	(うまのみみにねんぶつ)
馬の合う	(うまのあう)
馬喰	(ばくろう,はくらく)
馬車	(ばしゃ,うまぐるま)
馬刀貝	(まてがい,マテガイ)
馬丁	(ばてい)
馬耳東風	(ばじとうふう)
馬飛	(うまとび)
馬飛び	(うまとび)
馬蛤貝	(まてがい,マテガイ)
馬稼	(ばか,バカ)
馬脚	(ばきゃく)
馬具	(ばぐ)
馬尻	(バケツ)
馬克	(マルク)
馬来西亜	(マレーシア)
馬力	(ばりき)
馬鹿	(ばか,バカ)
馬鹿げた	(ばかげた,バカげた)
馬鹿にする	(ばかにする,バカにする)
馬鹿にできない	(ばかにできない,バカにできない)
馬鹿にならない	(ばかにならない,バカにならない)
馬鹿に出来ない	(ばかにできない,バカにできない)
馬鹿は死ななきゃ直らない	(ばかはしななきゃなおらない)
馬鹿は死ななきゃ治らない	(ばかはしななきゃなおらない)
馬鹿やろう	(ばかやろう,バカヤロー,バカヤロウ)
馬鹿を見る	(ばかをみる)
馬鹿話	(ばかばなし)
馬鹿力	(ばかぢから)
馬鹿々々しい	(ばかばかしい,バカバカしい)
馬鹿馬鹿しい	(ばかばかしい,バカバカしい)
馬鹿受け	(ばかうけ)
馬鹿野郎	(ばかやろう,バカヤロー,バカヤロウ)
馬鹿者	(ばかもの,ばかもん)
馬鹿正直	(ばかしょうじき)
馬面	(うまづら,ばめん,うまがお)
馬尼剌	(マニラ)
馬匹	(ばひつ)
馬肉	(ばにく)
馬舎	(うまや,まや)
馬市	(うまいち)
馬術	(ばじゅつ)
馬跳び	(うまとび)
馬頭	(めず)
馬屋	(うまや,まや)
馬小屋	(うまごや)
馬穴	(バケツ)
馬酔木	(あせび,あしび,あせぼ)
瑪瑙	(めのう,メノウ)
碼	(ヤード)
碼碯	(めのう,メノウ)
罵る	(ののしる)
罵倒	(ばとう)
罵声	(ばせい)
埋まる	(うまる,うずまる)
埋めあわせる	(うめあわせる)
埋めこむ	(うめこむ)
埋める	(うめる)
埋め合せる	(うめあわせる)
埋め合わせる	(うめあわせる)
埋め立てる	(うめたてる)
埋め立て地	(うめたてち)
埋め込	(うめこみ)
埋め込み	(うめこみ)
埋め込む	(うめこむ)
埋もれる	(うもれる,うずもれる,うづもれる)
埋蔵	(まいぞう)
埋蔵金	(まいぞうきん)
埋立て地	(うめたてち)
埋立地	(うめたてち)
埋没	(まいぼつ)
埋込	(うめこみ)
埋込み	(うめこみ)
埋込む	(うめこむ)
埋葬	(まいそう)
買いあおる	(かいあおる)
買いあさる	(かいあさる)
買いオペ	(かいオペ)
買いオペレーション	(かいオペレーション)
買いかぶる	(かいかぶる)
買いこむ	(かいこむ)
買いもの	(かいもの,かいもん)
買いもん	(かいもの,かいもん)
買い被る	(かいかぶる)
買い出し	(かいだし)
買い掛け金	(かいかけきん)
買い集める	(かいあつめる)
買い切る	(かいきる)
買い求める	(かいもとめる)
買い取り	(かいとり)
買い取る	(かいとる)
買い入れる	(かいいれる)
買い煽る	(かいあおる)
買い上げる	(かいあげる)
買い手	(かいて)
買い受ける	(かいうける)
買い戻す	(かいもどす)
買い物	(かいもの,かいもん)
買い物袋	(かいものぶくろ)
買い込む	(かいこむ)
買い漁る	(かいあさる)
買い占め	(かいしめ)
買い占める	(かいしめる)
買い主	(かいぬし)
買い足す	(かいたす)
買う	(かう)
買ってでる	(かってでる)
買って出る	(かってでる)
買出し	(かいだし)
買掛金	(かいかけきん)
買切る	(かいきる)
買求める	(かいもとめる)
買取	(かいとり)
買取り	(かいとり)
買入れる	(かいいれる)
買上げる	(かいあげる)
買収	(ばいしゅう)
買手	(かいて)
買受ける	(かいうける)
買戻す	(かいもどす)
買物	(かいもの,かいもん)
買物袋	(かいものぶくろ)
買込む	(かいこむ)
買占め	(かいしめ)
買占める	(かいしめる)
買主	(かいぬし)
買足す	(かいたす)
麦	(むぎ)
麦こがし	(むぎこがし)
麦の秋	(むぎのあき)
麦めし	(むぎめし,ばくはん,むぎいい)
麦わら	(むぎわら,ばっかん)
麦わらぼうし	(むぎわらぼうし)
麦わら帽子	(むぎわらぼうし)
麦扱き	(むぎこき)
麦茶	(むぎちゃ)
麦打ち	(むぎうち)
麦搗き	(むぎつき)
麦笛	(むぎぶえ)
麦飯	(むぎめし,ばくはん,むぎいい)
麦粉	(むぎこ)
麦稈	(むぎわら,ばっかん)
麦稈帽子	(むぎわらぼうし)
麦藁	(むぎわら,ばっかん)
麦藁帽子	(むぎわらぼうし)
麦焦がし	(むぎこがし)
麦焦し	(むぎこがし)
麦角	(ばっかく)
麦酒	(ばくしゅ,ビール)
麦粒腫	(ばくりゅうしゅ)
麦秋	(ばくしゅう,むぎあき)
麦蒔	(むぎまき)
麦束	(むぎたば)
麦価	(ばくか,ばっか)
麦踏み	(むぎふみ)
麦湯	(むぎゆ)
麦田	(むぎた)
麦畑	(むぎばたけ)
麦芽	(ばくが)
麦芽糖	(ばくがとう)
麦刈り	(むぎかり)
麦作	(むぎさく)
売りオペ	(うりオペ)
売りオペレーション	(うりオペレーション)
売りつける	(うりつける)
売りとばす	(うりとばす)
売りはらう	(うりはらう)
売りもの	(うりもの)
売り歩く	(うりあるく)
売り場	(うりば)
売り出し	(うりだし)
売り出す	(うりだす)
売り渡す	(うりわたす)
売り児	(うりこ)
売り払う	(うりはらう)
売り飛ばす	(うりとばす)
売り付ける	(うりつける)
売り掛け金	(うりかけきん)
売り広げる	(うりひろげる)
売り家	(うりや,うりいえ)
売り切れ	(うりきれ)
売り切れる	(うりきれる)
売り上	(うりあげ)
売り上げ	(うりあげ)
売り手	(うりて)
売り物	(うりもの)
売り込み	(うりこみ)
売り込む	(うりこむ)
売り子	(うりこ)
売る	(うる)
売れゆき	(うれゆき)
売れる	(うれる)
売れ残り	(うれのこり)
売れ行き	(うれゆき)
売卜	(ばいぼく)
売歩く	(うりあるく)
売残	(うれのこり)
売残り	(うれのこり)
売場	(うりば)
売出	(うりだし)
売出し	(うりだし)
売出す	(うりだす)
売春	(ばいしゅん)
売春婦	(ばいしゅんふ)
売店	(ばいてん)
売渡す	(うりわたす)
売払う	(うりはらう)
売付ける	(うりつける)
売掛金	(うりかけきん)
売国	(ばいこく)
売国奴	(ばいこくど)
売家	(うりや,うりいえ)
売買	(ばいばい)
売買高	(ばいばいだか)
売名	(ばいめい)
売女	(ばいた)
売切	(うりきれ)
売切れ	(うりきれ)
売切れる	(うりきれる)
売却	(ばいきゃく)
売上	(うりあげ)
売上げ	(うりあげ)
売上票	(うりあげぴょう)
売手	(うりて)
売物	(うりもの)
売笑婦	(ばいしょうふ)
売行	(うれゆき)
売行き	(うれゆき)
売込み	(うりこみ)
売約	(ばいやく)
売約済	(ばいやくずみ)
売約済み	(ばいやくずみ)
売子	(うりこ)
脉	(みゃく)
脈	(みゃく)
脈うつ	(みゃくうつ)
脈搏	(みゃくはく)
脈搏つ	(みゃくうつ)
脈搏数	(みゃくはくすう)
脈打つ	(みゃくうつ)
脈動	(みゃくどう)
脈絡	(みゃくらく)
脈略	(みゃくらく)
脈拍	(みゃくはく)
邁進	(まいしん)
蛮カラ	(ばんカラ,ばんから,バンカラ)
蛮から	(ばんカラ,ばんから,バンカラ)
蛮的	(ばんてき)
蛮風	(ばんぷう)
蛮骨	(ばんこつ)
蛮襟	(ばんカラ,ばんから,バンカラ)
蛮境	(ばんきょう)
蛮力	(ばんりょく)
蛮隷	(ばんれい)
蛮民	(ばんみん)
蛮人	(ばんじん)
蛮声	(ばんせい)
蛮習	(ばんしゅう)
蛮行	(ばんこう)
蛮夷	(ばんい)
蛮勇	(ばんゆう)
蛮語	(ばんご)
蛮族	(ばんぞく)
瞞す	(だます)
饅頭	(まんじゅう)
鬘	(かつら,かずら,カツラ)
鰻	(うなぎ,むなぎ,ウナギ)
鰻どんぶり	(うなどん,うなぎどんぶり,うなぎどん)
鰻登り	(うなぎのぼり)
鰻丼	(うなどん,うなぎどんぶり,うなぎどん)
鰻上り	(うなぎのぼり)
満たす	(みたす)
満タン	(まんタン,マンタン)
満ちる	(みちる)
満ち潮	(まんちょう,みちしお)
満ち干	(みちひ,まんかん)
満ち引き	(みちひき)
満俺	(マンガン)
満杯	(まんぱい)
満遍なく	(まんべんなく)
満遍無く	(まんべんなく)
満場	(まんじょう)
満場一致	(まんじょういっち)
満潮	(まんちょう,みちしお)
満喫	(まんきつ)
満点	(まんてん)
満腹	(まんぷく)
満干	(みちひ,まんかん)
満更でもない	(まんざらでもない)
満開	(まんかい)
満了	(まんりょう)
満塁	(まんるい)
満々	(まんまん)
満満	(まんまん)
満身創痍	(まんしんそうい)
満席	(まんせき)
満一年	(まんいちねん)
満引き	(みちひき)
満員	(まんいん)
満月	(まんげつ)
満悦	(まんえつ)
満載	(まんさい)
満州	(まんしゅう)
満州国	(まんしゅうこく)
満州國	(まんしゅうこく)
満洲	(まんしゅう)
満洲国	(まんしゅうこく)
満足	(まんぞく)
満作	(まんさく,マンサク)
滿洲國	(まんしゅうこく)
滿足	(まんぞく)
蟎	(ダニ,だに)
曼谷	(バンコク,バンコック,バンコーク)
曼荼羅	(まんだら,まだら,マンダラ)
曼陀羅	(まんだら,まだら,マンダラ)
曼珠沙華	(まんじゅしゃげ,マンジュシャゲ)
蔓る	(はびこる)
蔓延	(まんえん)
蔓延る	(はびこる)
蔓衍	(まんえん)
幔幕	(まんまく)
漫りに	(みだりに)
漫ろに	(そぞろに)
漫ろ歩き	(そぞろあるき)
漫才	(まんざい)
漫画	(まんが,マンガ)
漫然	(まんぜん)
漫談	(まんだん)
慢性	(まんせい)
慢性的	(まんせいてき)
慢性疲労症候群	(まんせいひろうしょうこうぐん)
芒	(ススキ,すすき)
芒果	(マンゴー,マンゴ)
芒洋	(ぼうよう)
忙がしい	(いそがしい)
忙しい	(いそがしい)
忙殺	(ぼうさつ)
尨	(むく)
尨大	(ぼうだい)
尨毛	(むくげ)
尨犬	(むくいぬ,ムクいぬ)
盲	(めくら,メクラ)
盲愛	(もうあい)
盲壁	(めくらかべ)
盲腸	(もうちょう)
盲腸炎	(もうちょうえん)
盲窓	(めくらまど)
盲従	(もうじゅう)
盲打ち	(めくらうち)
盲導犬	(もうどうけん)
盲点	(もうてん)
盲動	(もうどう,ぼうどう)
盲断	(もうだん)
盲管銃創	(もうかんじゅうそう)
盲貫銃創	(もうかんじゅうそう)
盲亀	(もうき)
盲撃ち	(めくらうち)
盲進	(もうしん)
盲暦	(めくらごよみ)
盲買い	(めくらがい)
盲滅法	(めくらめっぽう)
盲目	(もうもく)
盲目的	(もうもくてき)
盲目飛行	(もうもくひこう)
盲判	(めくらばん)
盲人	(もうじん)
盲射	(もうしゃ)
盲探り	(めくらさぐり)
盲想	(もうそう,ぼうそう)
盲信	(もうしん,ぼうしん)
盲学校	(もうがっこう)
