〆切	(しめきり)
いもづる式	(いもづるしき)
イモ虫	(いもむし,イモムシ)
いも虫	(いもむし,イモムシ)
いも掘り	(いもほり)
イヤしん坊	(いやしんぼう)
いやしん坊	(いやしんぼう)
いやでも応でも	(いやでもおうでも)
イヤと言うほど	(いやというほど,イヤというほど)
いや気がさす	(いやけがさす)
いや味	(いやみ)
いや応	(いやおう)
いや応なし	(いやおうなし)
いや応なしに	(いやおうなしに)
いら立つ	(いらだつ)
いり卵	(いりたまご)
いれ込む	(いれこむ)
いわし雲	(いわしぐも)
いんぎん無礼	(いんぎんぶれい)
インゲン豆	(いんげんまめ,インゲンマメ)
いんげん豆	(いんげんまめ,インゲンマメ)
インスタント食品	(インスタントしょくひん)
インディア紙	(インディアかみ)
インディペンデントリビング運動	(インディペンデントリビングうんどう)
インド教	(インドきょう)
インド人	(インドじん)
インフラ開発	(インフラかいはつ)
いん石	(いんせき)
イ長調	(イちょうちょう)
イ短調	(イたんちょう)
ウィジャ板	(ウィジャばん)
ウィジャ盤	(ウィジャばん)
ウイジャ盤	(ウィジャばん)
ウイック回転	(ウイックかいてん)
ウーロン茶	(ウーロンちゃ,ウーロンチャ)
うお座	(うおざ)
うかがい知る	(うかがいしる)
うかぬ顔	(うかぬかお)
うかれ歩く	(うかれあるく)
うき目	(うきめ)
うき世	(うきよ,ふせい)
ウグイス色	(うぐいすいろ)
うぐいす色	(うぐいすいろ)
うけ取る	(うけとる)
ウサギ年	(うさぎどし,うどし)
うさぎ年	(うさぎどし,うどし)
うさを晴らしに	(うさをはらしに)
うさん臭い	(うさんくさい)
ウサ晴らし	(うさばらし)
うさ晴らし	(うさばらし)
うしろ姿	(うしろすがた)
うしろ足	(うしろあし)
うし年	(うしどし)
うす暗い	(うすぐらい)
うず巻く	(うずまく)
うす馬鹿	(うすばか,うすバカ,ウスバカ)
うせ物	(うせもの)
うそで固める	(うそでかためる)
ウソを付く	(うそをつく,ウソをつく)
ウソ八百	(うそはっぴゃく)
うそ八百	(うそはっぴゃく)
ウソ付き	(うそつき,ウソつき)
うそ字	(うそじ)
うた沢	(うたざわ)
うちわ喧嘩	(うちわげんか)
うち返す	(うちかえす)
うち解けにくい	(うちとけにくい)
うち解ける	(うちとける)
うち鳴らす	(うちならす)
うち殺す	(うちころす)
うち砕く	(うちくだく,ぶちくだく)
うち湯	(うちゆ)
うち下ろす	(うちおろす)
うち込む	(うちこむ)
うち中	(うちじゅう,いえじゅう,かちゅう)
ウツ病	(うつびょう)
うつ病	(うつびょう)
うっ憤	(うっぷん)
うつ伏す	(うつぶす)
うつ伏せ	(うつぶせ)
うっ積	(うっせき)
うつ向き	(うつむき)
うつ向く	(うつむく)
うっ血	(うっけつ)
うっ滞	(うったい)
うで時計	(うでどけい)
うで試し	(うでだめし)
うなぎ登り	(うなぎのぼり)
うなぎ丼	(うなどん,うなぎどんぶり,うなぎどん)
うなぎ上り	(うなぎのぼり)
うな丼	(うなどん,うなぎどんぶり,うなぎどん)
うね立て	(うねたて,うねだて)
うの花	(うのはな,ウノハナ)
うの毛	(うのけ)
うば車	(うばぐるま)
うば桜	(うばざくら)
うぶ毛	(うぶげ)
うまい汁	(うまいしる)
うまく行く	(うまくいく)
うまれ変わり	(うまれかわり)
うま年	(うまどし)
うま味	(うまみ)
うめ込む	(うめこむ)
ウラ側	(うらがわ)
うら側	(うらがわ)
ウラ話	(うらばなし,ウラばなし)
ウラ技	(うらわざ)
うら枯れ	(うらがれ)
ウラ面	(うらめん)
うら盆	(うらぼん)
うら盆会	(うらぼんえ)
うら若い	(うらわかい)
うり二つ	(うりふたつ)
うるう年	(うるうどし,じゅんねん)
うるう月	(うるうづき,じゅんげつ)
うれし涙	(うれしなみだ)
うわさ通り	(うわさどおり)
うわの空	(うわのそら)
うわ気	(うわき)
うわ言	(うわごと)
うわ薬	(うわぐすり,ゆうやく,ゆう)
うん悪く	(うんわるく)
うん蓄	(うんちく,ウンチク)
う回	(うかい)
う食	(うしょく)
う蝕	(うしょく)
う飼い	(うかい,うがい)
えい光弾	(えいこうだん)
えい航	(えいこう)
エゴマ油	(えごまあぶら,えごまゆ)
えごま油	(えごまあぶら,えごまゆ)
エコロジー運動	(エコロジーうんどう)
えこ贔屓	(えこひいき)
えたいの知れない	(えたいのしれない)
エックス線	(エックスせん)
えのき茸	(えのきたけ,えのきだけ,エノキタケ)
エライザ法	(エライザほう)
えらい人	(えらいひと)
えら物	(えらぶつ,えらもの)
えり抜く	(えりぬく,よりぬく)
えり分ける	(よりわける,えりわける)
えり好み	(よりごのみ,えりごのみ)
えり巻き	(えりまき,エリマキ)
えり首	(えりくび)
えり元	(えりもと)
えり足	(えりあし)
エンジン発動機	(エンジンはつどうき)
エンジン故障	(エンジンこしょう)
エンピツ削り	(えんぴつけずり)
えんぴつ削り	(えんぴつけずり)
えん堤	(えんてい)
エン麦	(えんばく,エンばく,エンバク)
えん麦	(えんばく,エンばく,エンバク)
えん罪	(えんざい)
おあいにく様	(おあいにくさま)
おい出す	(おいだす)
おい茂る	(おいしげる)
おうし座	(おうしざ)
おう歌	(おうか)
おう殺	(おうさつ)
おう吐	(おうと)
おおげさに言う	(おおげさにいう)
おかげ様	(おかげさま)
おかげ様で	(おかげさまで)
おが屑	(おがくず)
オギノ式	(オギノしき,おぎのしき)
おき火	(おきび)
おくれ毛	(おくれげ)
おく病	(おくびょう)
おく深い	(おくふかい,おくぶかい)
おけさ節	(おけさぶし)
おこそ頭巾	(おこそずきん)
おさな心	(おさなごころ)
おし広める	(おしひろめる)
おし寄せる	(おしよせる)
おし流す	(おしながす)
おし黙る	(おしだまる)
おせち料理	(おせちりょうり)
おたずね者	(おたずねもの)
おつかれ様	(おつかれさま)
おっしゃる通り	(おっしゃるとおり,おっしゃるとうり)
おとうと嫁	(おとうとよめ,おとよめ)
おとぎ話	(おとぎばなし)
おどけ話	(おどけばなし)
おとし入れる	(おとしいれる)
おとし穴	(おとしあな)
おとめ座	(おとめざ)
おどり上がる	(おどりあがる)
おと年	(おととし,いっさくねん)
おない年	(おないどし)
おない歳	(おないどし)
おばけ屋敷	(おばけやしき)
おはよう御座います	(おはようございます,おはよーございます)
おびき出す	(おびきだす)
おひつじ座	(おひつじざ)
オブジェクト指向	(オブジェクトしこう)
オブジェクト指向言語	(オブジェクトしこうげんご)
オムツ気触れ	(おむつかぶれ,オムツかぶれ)
おめでとう御座います	(おめでとうございます)
おもい出す	(おもいだす)
おや指	(おやゆび)
おり返す	(おりかえす)
おり立つ	(おりたつ)
おり姫	(おりひめ)
おろし金	(おろしがね)
オンナの子	(おんなのこ)
おんぶに抱っこ	(おんぶにだっこ)
おん鳥	(おんどり,オンドリ)
お八つ	(おやつ)
お伴	(おとも)
お報せ	(おしらせ)
お弁当	(おべんとう)
お別れ	(おわかれ)
お餅	(おもち)
お菜	(おかず,オカズ)
お参り	(おまいり)
お茶	(おちゃ)
お産	(おさん)
お歯黒	(おはぐろ)
お出かけ	(おでかけ)
お出で	(おいで)
お出でになる	(おいでになる)
お出掛け	(おでかけ)
お辞儀	(おじぎ)
お大事に	(おだいじに)
お待ちどうさま	(おまちどおさま,おまちどうさま)
お待ちどおさま	(おまちどおさま,おまちどうさま)
お待ち遠様	(おまちどおさま,おまちどうさま)
お袋	(おふくろ,オフクロ)
お誕生日おめでとうございます	(おたんじょうびおめでとうございます)
お彈き	(おはじき,おハジキ)
お道化る	(おどける,たわける)
お得	(おとく,おトク)
お徳	(おとく,おトク)
お釣	(おつり)
お釣り	(おつり)
お喋り	(おしゃべり)
お多福	(おたふく)
お返し	(おかえし)
お坊ちゃん	(おぼっちゃん)
お坊っちゃん	(おぼっちゃん)
お風呂に入る	(おふろにはいる)
お釜	(おかま,オカマ)
お父さん	(おとうさん,おとっさん)
お付き	(おつき)
お負けに	(おまけに)
お腹	(おなか)
お伽草子	(おとぎぞうし)
お伽話	(おとぎばなし)
お伽噺	(おとぎばなし)
お高祖頭巾	(おこそずきん)
お供	(おとも)
お宮	(おみや)
お宮参り	(おみやまいり)
お構い	(おかまい)
お構いなく	(おかまいなく)
お構い無く	(おかまいなく)
お古	(おふる)
お帰りなさい	(おかえりなさい)
お鍋	(おなべ,オナベ)
お菓子	(おかし)
お好み焼	(おこのみやき)
お好み焼き	(おこのみやき)
お河童	(おかっぱ,オカッパ)
お互いさま	(おたがいさま)
お互い様	(おたがいさま)
お化け	(おばけ,オバケ)
お化け屋敷	(おばけやしき)
お話し中	(おはなしちゅう)
お話中	(おはなしちゅう)
お祭	(おまつり)
お祭り	(おまつり)
お嫁さん	(およめさん)
お見えになる	(おみえになる)
お見合	(おみあい)
お見合い	(おみあい)
お見舞	(おみまい)
お見舞い	(おみまい)
お薦め	(おすすめ,オススメ)
お奨め	(おすすめ,オススメ)
お絞り	(おしぼり)
お結び	(おむすび)
お節介	(おせっかい)
お節料理	(おせちりょうり)
お姐さん	(おねえさん)
お金	(おかね)
お浸し	(おひたし,おしたし)
お酒	(おさけ)
お尻	(おしり,オシリ)
お客さま	(おきゃくさま)
お客さん	(おきゃくさん)
お客様	(おきゃくさま)
お冷	(おひや)
お冷や	(おひや)
お礼	(おれい,おんれい)
お礼奉公	(おれいぼうこう)
お漏らし	(おもらし)
お皿	(おさら)
お墨つき	(おすみつき)
お墨付	(おすみつき)
お墨付き	(おすみつき)
お母	(おふくろ,オフクロ)
お母さま	(おかあさま)
お母さん	(おかあさん,おかーさん)
お母様	(おかあさま)
お目にかかる	(おめにかかる)
お目に掛かる	(おめにかかる)
お目出度う	(おめでとう)
お目出度うございます	(おめでとうございます)
お年玉	(おとしだま)
お嬢さん	(おじょうさん)
お盆	(おぼん)
お披露目	(おひろめ)
お疲れさま	(おつかれさま)
お疲れ様	(おつかれさま)
お婆さん	(おばあさん,おばーさん)
お婆ん	(おばん)
お七夜	(おしちや)
お気のどく	(おきのどく)
お気の毒	(おきのどく)
お前	(おまえ,おまい)
お前さん	(おまえさん,おめえさん)
お遣い	(おつかい)
お襁褓	(おむつ,オムツ)
お襁褓気触れ	(おむつかぶれ,オムツかぶれ)
お寝しょ	(おねしょ,オネショ)
お寝小	(おねしょ,オネショ)
お勧め	(おすすめ,オススメ)
お日さま	(おひさま)
お日様	(おひさま)
お洒落	(おしゃれ,オシャレ)
お三時	(おさんじ)
お膳	(おぜん)
お上	(おかみ)
お上りさん	(おのぼりさん)
お神渡り	(おみわたり)
お神酒	(おみき)
お神籤	(おみくじ)
お神輿	(おみこし)
お生憎さま	(おあいにくさま)
お生憎様	(おあいにくさま)
お食い初め	(おくいぞめ)
お使い	(おつかい)
お世辞	(おせじ)
お世話になる	(おせわになる)
お仕舞い	(おしまい)
お手あげ	(おてあげ)
お手上げ	(おてあげ)
お手盛り	(おてもり)
お手洗い	(おてあらい)
お手玉	(おてだま)
お手伝いさん	(おてつだいさん)
お守	(おまもり)
お守り	(おまもり)
お数	(おかず,オカズ)
お祀	(おまつり)
お祀り	(おまつり)
お孫さん	(おまごさん)
お弾き	(おはじき,おハジキ)
お湯	(おゆ)
お天気	(おてんき)
お天気屋	(おてんきや)
お田	(おでん)
お凸	(おでこ)
お屠蘇	(おとそ)
お土産	(おみやげ,おみあげ)
お碗	(おわん)
お握り	(おにぎり)
お下げ	(おさげ)
お先に	(おさきに)
お邪魔します	(おじゃまします)
お新香	(おしんこ)
お兄さん	(おにいさん)
お兄ちゃん	(おにいちゃん)
お休みなさい	(おやすみなさい)
お巡りさん	(おまわりさん)
お尋ね者	(おたずねもの)
お芽出度う	(おめでとう)
お陽さま	(おひさま)
お陽様	(おひさま)
お爺さん	(おじいさん)
お陰	(おかげ)
お陰さま	(おかげさま)
お陰さまで	(おかげさまで)
お陰で	(おかげで)
お陰様	(おかげさま)
お陰様で	(おかげさまで)
お蔭	(おかげ)
お蔭で	(おかげで)
お蔭様	(おかげさま)
お蔭様で	(おかげさまで)
お玉じゃくし	(おたまじゃくし,オタマジャクシ)
お玉杓子	(おたまじゃくし,オタマジャクシ)
お御籤	(おみくじ)
お御輿	(おみこし)
お願いいたします	(おねがいいたします)
お願いしまあす	(おねがいします)
お願いします	(おねがいします)
お願い致します	(おねがいいたします)
お雑煮	(おぞうに)
お早うございます	(おはようございます,おはよーございます)
お早う御座います	(おはようございます,おはよーございます)
お札	(おさつ)
お宅	(おたく)
お召	(おめし)
お召し	(おめし)
お召し物	(おめしもの)
お知らせ	(おしらせ)
お中	(おなか)
お中元	(おちゅうげん)
お終い	(おしまい)
お呪い	(おまじない)
お咒い	(おまじない)
お猪口	(おちょこ)
お転婆	(おてんば)
お粧し	(おめかし)
お子さま	(おこさま)
お子さん	(おこさん)
お子様	(おこさま)
お姉さん	(おねえさん)
お祖父さん	(おじいさん)
お祖母さん	(おばあさん,おばーさん)
お座なりになる	(おざなりになる)
カーソル強調	(カーソルきょうちょう)
カード会員	(カードかいいん)
カーボン紙	(カーボンし,カーボンかみ)
かいま見る	(かいまみる)
がい骨	(がいこつ,ガイコツ)
かい離	(かいり)
かい人	(かいじん)
がい子	(がいし)
カヴァー曲	(カバーきょく,カヴァーきょく)
カエルの子はカエル	(かえるのこはかえる)
かえるの子はかえる	(かえるのこはかえる)
かえる跳び	(かえるとび,かわずとび)
カカア天下	(かかあでんか)
かかあ天下	(かかあでんか)
かかり合い	(かかりあい)
かかり合う	(かかりあう)
かきいれ時	(かきいれどき)
カギを掛ける	(かぎをかける)
かぎを掛ける	(かぎをかける)
カキ氷	(かきごおり)
かき氷	(かきごおり)
かぎ出す	(かぎだす)
ガキ大将	(がきだいしょう)
がき大将	(がきだいしょう)
かぎ分ける	(かぎわける)
かき合せる	(かきあわせる)
